참여자번호,브레이크유형,고감속구간 번호,고감속구간길이,최소거리
14,D면적변화제동등,2,2.376,11.77968
14,D면적변화제동등,3,2.899,12.55316
14,D면적변화제동등,4,2.974,10.76764
14,D면적변화제동등,5,2.534,14.27139
14,D면적변화제동등,6,2.369,24.96284
14,D면적변화제동등,7,1.82,16.90314
14,D면적변화제동등,8,2.002,16.66672
15,A기본제동등,1,2.393,19.67736
15,A기본제동등,2,2.397,12.20465
15,A기본제동등,3,2.892,15.73424
15,A기본제동등,4,2.39,25.40261
15,A기본제동등,5,2.361,20.97821
15,A기본제동등,6,2.889,27.22362
15,A기본제동등,7,2.262,23.76784
15,A기본제동등,8,2.909,14.65637
15,A기본제동등,9,2.837,24.75849
15,B밝기변화제동등,1,1.775,32.8361
15,B밝기변화제동등,2,2.864,19.74167
15,B밝기변화제동등,3,2.464,23.65868
15,B밝기변화제동등,4,2.908,26.82656
15,B밝기변화제동등,5,2.784,15.84784
15,B밝기변화제동등,6,2.329,25.09134
15,B밝기변화제동등,7,2.362,26.77595
15,B밝기변화제동등,8,2.378,21.13327
15,B밝기변화제동등,9,2.29,15.54002
15,C점멸주파수변화제동등,1,2.87,21.71511
15,C점멸주파수변화제동등,2,2.843,25.43021
15,C점멸주파수변화제동등,3,2.98,35.71753
15,C점멸주파수변화제동등,4,2.43,19.47468
15,C점멸주파수변화제동등,5,2.329,22.65705
15,C점멸주파수변화제동등,6,2.321,28.4395
15,C점멸주파수변화제동등,7,1.895,27.3897
15,C점멸주파수변화제동등,8,2.379,33.732
15,C점멸주파수변화제동등,9,3.02,20.79254
15,D면적변화제동등,1,2.44,28.27657
15,D면적변화제동등,2,2.367,29.18312
15,D면적변화제동등,3,2.839,22.24508
15,D면적변화제동등,4,2.837,22.09063
15,D면적변화제동등,5,2.9,18.53852
15,D면적변화제동등,6,2.368,27.30346
15,D면적변화제동등,7,2.458,28.39381
15,D면적변화제동등,8,1.716,25.953
16,A기본제동등,1,2.356,10.72145
16,A기본제동등,2,1.778,16.07255
16,A기본제동등,3,2.877,22.22867
16,A기본제동등,4,2.349,16.64172
16,A기본제동등,5,2.326,9.92415
16,A기본제동등,6,2.87,8.53285
16,A기본제동등,7,2.396,17.32121
16,A기본제동등,8,2.872,19.16217
16,A기본제동등,9,2.443,9.07427
16,B밝기변화제동등,1,2.867,24.01158
16,B밝기변화제동등,2,2.382,23.56899
16,B밝기변화제동등,3,2.389,13.96262
16,B밝기변화제동등,4,2.931,28.60929
16,B밝기변화제동등,5,2.398,47.45402
16,B밝기변화제동등,6,2.452,21.35015
16,B밝기변화제동등,7,2.427,51.41015
16,B밝기변화제동등,8,1.799,25.52455
16,B밝기변화제동등,9,2.368,16.43473
16,B밝기변화제동등,10,2.884,23.93181
16,C점멸주파수변화제동등,1,2.36,18.58703
16,C점멸주파수변화제동등,2,2.881,32.22329
16,C점멸주파수변화제동등,3,2.824,25.52322
16,C점멸주파수변화제동등,4,2.947,15.4272
16,C점멸주파수변화제동등,5,2.408,16.26711
16,C점멸주파수변화제동등,6,2.329,28.04767
16,C점멸주파수변화제동등,7,2.919,15.3712
16,C점멸주파수변화제동등,8,1.867,23.42002
16,C점멸주파수변화제동등,9,2.389,30.89862
16,D면적변화제동등,1,2.89,31.56978
16,D면적변화제동등,2,2.443,19.06667
16,D면적변화제동등,3,2.908,20.39762
16,D면적변화제동등,4,2.387,24.45866
16,D면적변화제동등,5,1.732,20.43951
16,D면적변화제동등,6,2.596,17.35127
16,D면적변화제동등,7,2.399,11.34542
16,D면적변화제동등,8,2.888,13.38836
17,A기본제동등,1,2.907,20.83912
17,A기본제동등,2,2.363,38.78497
17,A기본제동등,3,2.39,21.11479
17,A기본제동등,4,2.419,27.51324
17,A기본제동등,5,2.37,34.97785
17,A기본제동등,6,2.898,33.10373
17,A기본제동등,7,2.876,23.15011
17,A기본제동등,8,2.856,29.73942
17,A기본제동등,9,2.394,28.23705
17,A기본제동등,10,1.871,23.53126
17,B밝기변화제동등,1,2.375,22.40808
17,B밝기변화제동등,2,2.11,32.45617
17,B밝기변화제동등,3,2.791,26.43627
17,B밝기변화제동등,4,3.012,29.37994
17,B밝기변화제동등,5,1.872,27.70672
17,B밝기변화제동등,6,2.824,21.16286
17,B밝기변화제동등,7,2.367,30.21901
17,B밝기변화제동등,8,2.36,31.2797
17,B밝기변화제동등,9,4.088,37.129
17,B밝기변화제동등,10,2.422,19.73829
17,C점멸주파수변화제동등,1,2.386,30.01976
17,C점멸주파수변화제동등,2,2.88,35.97979
17,C점멸주파수변화제동등,3,2.415,21.08794
17,C점멸주파수변화제동등,4,2.878,41.14747
17,C점멸주파수변화제동등,5,1.912,40.8794
