timestamp,date,time,time(ms),GSR,GSR_z,SCR,SCR_z,PPG,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise,Emotion,Leye_X,Leye_Y,Reye_X,Reye_Y,Leye_open,Reye_open
1416283,2024-10-15,11:02:20,1728957740108 ,4.653418591,-0.550186082,-0.010210463,-0.166739226,1408.058608,0.13679689,0.009021349,0.15928921,0.00956857,0.4100909,0.23717779,0.038055193,Neutral,337,182,428,185,1,1
1422836,2024-10-15,11:02:20,1728957740299 ,4.648313359,-0.555054293,-0.005105232,-0.079165489,1384.615385,0.12343334,0.008801003,0.1696231,0.01383676,0.41238695,0.21084338,0.06107544,Neutral,337,182,429,186,1,1
1442495,2024-10-15,11:02:20,1728957740863 ,4.627892433,-0.574527135,-0.005105232,-0.079165489,1425.641026,0.13085832,0.010194171,0.18168183,0.015817324,0.37861642,0.21346651,0.06936543,Neutral,337,182,429,185,1,1
1468707,2024-10-15,11:02:21,1728957741702 ,4.602366275,-0.598868189,-0.005105232,-0.079165489,1426.373626,0.15413006,0.010942801,0.16437683,0.009205136,0.37375012,0.25484902,0.032746002,Neutral,337,182,429,185,1,1
1481813,2024-10-15,11:02:22,1728957742087 ,4.58705058,-0.613472821,-0.010210463,-0.166739226,1359.70696,0.15805066,0.011967616,0.17290102,0.010590301,0.3523975,0.25730592,0.036787048,Neutral,338,183,429,186,1,1
1560449,2024-10-15,11:02:24,1728957744503 ,4.520682569,-0.676759561,-0.010210463,-0.166739226,1340.659341,0.13379316,0.010679662,0.18613559,0.01467231,0.37232342,0.20911142,0.073284425,Neutral,338,181,430,185,1,1
1567002,2024-10-15,11:02:24,1728957744700 ,4.515577338,-0.681627772,-0.005105232,-0.079165489,1460.07326,0.11205022,0.007666175,0.16632184,0.013488081,0.44000772,0.19152106,0.068945006,Neutral,339,182,430,185,1,1
1573555,2024-10-15,11:02:24,1728957744898 ,4.505366875,-0.691364193,-0.010210463,-0.166739226,1389.010989,0.110222735,0.007601241,0.16645637,0.014576679,0.44189712,0.1880993,0.071146615,Neutral,339,182,431,185,1,1
1580108,2024-10-15,11:02:25,1728957745068 ,4.505366875,-0.691364193,0,0.008408249,1349.450549,0.118723005,0.008650853,0.17258886,0.01482297,0.41868713,0.19666292,0.06986423,Neutral,338,181,430,184,1,1
1586661,2024-10-15,11:02:25,1728957745259 ,4.505366875,-0.691364193,0,0.008408249,1349.450549,0.11652862,0.008754683,0.18048434,0.015589829,0.40587667,0.18764512,0.085120685,Neutral,338,181,430,184,1,1
1632532,2024-10-15,11:02:26,1728957746660 ,4.469630254,-0.725441668,-0.005105232,-0.079165489,1420.512821,0.13916911,0.010785752,0.18106794,0.014208688,0.3701561,0.22522137,0.059391055,Neutral,338,184,428,186,1,0
1652191,2024-10-15,11:02:27,1728957747308 ,4.449209327,-0.744914511,-0.010210463,-0.166739226,1562.637363,0.10636395,0.006986411,0.1628073,0.012346534,0.4561995,0.18300766,0.0722887,Neutral,337,181,429,185,1,1
1658744,2024-10-15,11:02:27,1728957747493 ,4.449209327,-0.744914511,0,0.008408249,1402.197802,0.104397796,0.006997375,0.16222085,0.013840534,0.45936805,0.17882909,0.07434628,Neutral,337,181,429,184,1,1
1665297,2024-10-15,11:02:27,1728957747695 ,4.444104096,-0.749782722,-0.005105232,-0.079165489,1353.113553,0.10149732,0.006954415,0.16988759,0.012858091,0.447766,0.16766429,0.0933723,Neutral,338,181,430,184,1,1
1671850,2024-10-15,11:02:27,1728957747876 ,4.433893632,-0.759519143,-0.010210463,-0.166739226,1749.450549,0.10729952,0.0070026,0.16251992,0.011679282,0.45569724,0.18512893,0.07067246,Neutral,338,182,430,185,1,1
1678403,2024-10-15,11:02:28,1728957748063 ,4.428788401,-0.764387354,-0.005105232,-0.079165489,1512.087912,0.10836799,0.007500279,0.16758522,0.014544336,0.44206116,0.18371087,0.07623023,Neutral,340,181,431,184,1,1
1684956,2024-10-15,11:02:28,1728957748255 ,4.423683169,-0.769255565,-0.005105232,-0.079165489,1323.076923,0.11134433,0.007557308,0.16598696,0.012683689,0.44292256,0.18931447,0.07019062,Neutral,339,182,431,185,1,1
1691509,2024-10-15,11:02:28,1728957748466 ,4.413472706,-0.778991986,-0.010210463,-0.166739226,1361.172161,0.09847642,0.006590657,0.16171135,0.016199458,0.46457377,0.16994423,0.082504004,Neutral,339,182,430,185,1,1
1698062,2024-10-15,11:02:28,1728957748703 ,4.408367475,-0.783860197,-0.005105232,-0.079165489,1537.728938,0.106489,0.007035805,0.16059667,0.013641267,0.45869917,0.18494084,0.06859728,Neutral,338,182,429,185,1,1
1704615,2024-10-15,11:02:28,1728957748900 ,4.403262243,-0.788728408,-0.005105232,-0.079165489,1397.069597,0.11014148,0.00718572,0.16029999,0.012435772,0.4548201,0.19200851,0.06310838,Neutral,338,181,429,184,1,1
1711168,2024-10-15,11:02:29,1728957749100 ,4.408367475,-0.783860197,0.005105232,0.095981986,1248.351648,0.10622771,0.007002377,0.16028684,0.013495743,0.45972493,0.1845435,0.06871891,Neutral,337,181,430,185,1,1
1717721,2024-10-15,11:02:29,1728957749285 ,4.423683169,-0.769255565,0.015315695,0.271129461,1400.732601,0.10801233,0.006665212,0.15181004,0.011149395,0.4741508,0.19391304,0.054299105,Neutral,337,181,429,185,1,1
1743933,2024-10-15,11:02:30,1728957750044 ,4.581945348,-0.618341032,0.03063139,0.533850673,1348.717949,0.11681186,0.007693303,0.16123265,0.010748673,0.4448735,0.20055585,0.05808413,Neutral,337,181,429,184,1,1
1750486,2024-10-15,11:02:30,1728957750288 ,4.597261043,-0.6037364,0.015315695,0.271129461,1327.472527,0.16369124,0.013432406,0.18047786,0.014225018,0.32852596,0.26242256,0.03722502,Neutral,340,183,429,186,0,0
1757039,2024-10-15,11:02:30,1728957750487 ,4.602366275,-0.598868189,0.005105232,0.095981986,1278.388278,0.13310732,0.009550037,0.17320658,0.010746751,0.39919335,0.21646713,0.057728887,Neutral,338,181,429,184,1,1
1763592,2024-10-15,11:02:30,1728957750689 ,4.602366275,-0.598868189,0,0.008408249,1260.07326,0.11551686,0.007424824,0.15838385,0.011163332,0.44937995,0.20356865,0.054562565,Neutral,338,181,429,184,1,1
